	z_coordinate_0	z_coordinate_1
0	-0.13256906	-0.030744433
1	-0.17524937	-0.054714918
2	-0.23954743	-0.03405574
3	-0.22099844	0.020210475
4	-0.21358636	-0.07918389
5	-0.11785692	-0.112891704
6	-0.15031213	0.034198284
7	-0.1950154	-0.11450881
8	-0.33673373	-0.10489449
9	-0.21102056	-0.1132735
10	-0.081036136	-0.091460794
11	-0.030329585	-0.09814863
12	-0.23976818	-0.06016469
13	-0.17556623	-0.04148376
14	-0.16946048	-0.06247595
15	-0.1649431	-0.097175315
16	0.0070255995	0.0034999251
17	-0.09548852	-0.11456135
18	-0.12397364	0.07885504
19	-0.21818823	0.030510828
20	-0.025928766	0.025645554
21	-0.22882909	-0.122675166
22	-0.28673187	-0.12017575
23	-0.13338622	0.027396828
24	-0.21769416	-0.016547114
25	-0.11704537	-0.08203456
26	-0.06831013	-0.069776535
27	-0.14559636	-0.08022803
28	-0.18616077	-0.048188508
29	-0.051428318	0.029057443
30	-0.19878075	-0.13494995
31	-0.09346686	-0.062373906
32	-0.14792934	-0.07172969
33	-0.22503456	-0.038847372
34	-0.34060878	-0.021270335
35	-0.28325117	-0.0021728873
36	0.053921595	-0.002403438
37	-0.19452909	-0.08660364
38	-0.0935961	-0.03399998
39	-0.2240029	-0.10551518
40	-0.16337088	-0.0535039
41	-0.07299693	-0.03021413
42	-0.2805375	0.054665625
43	-0.17826286	-0.116907924
44	-0.069358885	-0.108582705
45	-0.21866307	-0.0013952553
46	-0.20830905	-0.07812598
47	-0.17914575	-0.013050765
48	-0.23621145	-0.118955344
49	-0.12559125	0.07625729
50	-0.04103805	0.12129374
51	-0.05936736	-0.12410927
52	-0.24904665	0.026387364
53	-0.18162614	-0.05372697
54	-0.16082203	-0.0958249
55	-0.20446649	-0.13265827
56	-0.08340736	-0.1133775
57	-0.17925593	-0.044909477
58	-0.11699347	-0.15230219
59	-0.27334985	-0.08080092
60	-0.16087171	-0.04089752
61	-0.22078112	0.08740014
62	-0.2051127	0.0019433796
63	-0.059061915	0.0007702708
64	-0.19375423	-0.10885605
65	-0.022436619	-0.021984816
66	-0.12787822	0.0068379045
67	-0.20351258	-0.07061857
68	-0.17072412	-0.019863695
69	-0.17936078	-0.018773898
70	-0.111189574	-0.12672028
71	-0.09718631	-0.100614965
72	-0.13752759	0.012079462
73	-0.11571093	-0.017392397
74	-0.27070758	-0.027985066
75	-0.07263385	-0.12368664
76	-0.30531654	-0.04017599
77	-0.11472571	-0.07612947
78	-0.096809864	-0.0034871101
79	-0.18357003	-0.059318885
80	-0.14738715	0.11163291
81	-0.173504	-0.066060245
