	log_likelihood
0	-45.2246
1	-50.068592
2	-49.185875
3	-53.153248
4	-46.373028
5	-46.073627
6	-46.944107
7	-43.73479
8	-62.419678
9	-43.290184
10	-49.492775
11	-46.021446
12	-55.220387
13	-42.594902
14	-51.44112
15	-41.428375
16	-51.664062
17	-40.404545
18	-45.694424
19	-50.053246
20	-49.947292
21	-48.289516
22	-58.10274
23	-51.24878
24	-48.05091
25	-49.720963
26	-47.583424
27	-36.472694
28	-43.393944
29	-50.42766
30	-43.245396
31	-43.97494
32	-45.778446
33	-48.69943
34	-46.281746
35	-46.570488
36	-40.276695
37	-43.726456
38	-52.3148
39	-49.89968
40	-45.412098
41	-46.559288
42	-47.18866
43	-47.452736
44	-49.394943
45	-46.59444
46	-53.90166
47	-51.510334
48	-44.038033
49	-51.398964
50	-45.923843
51	-58.25411
52	-58.126293
53	-44.88156
54	-44.955578
55	-43.824043
56	-43.862278
57	-43.454285
58	-42.671715
59	-50.95304
60	-45.001663
61	-41.65494
62	-45.38587
63	-50.58905
64	-50.887856
65	-41.445183
66	-38.28411
67	-47.251945
68	-42.18156
69	-38.72298
70	-46.535583
71	-42.380226
72	-53.095634
73	-44.049976
74	-36.298412
75	-46.942608
76	-53.397472
77	-48.9674
78	-47.15572
79	-40.842354
80	-51.09285
81	-47.87123
82	-44.149406
83	-40.615887
84	-44.765076
85	-53.224377
86	-47.89759
87	-42.75929
88	-49.081017
89	-43.399628
90	-52.393913
91	-42.734985
92	-44.66206
93	-43.145786
94	-41.9916
95	-51.90926
96	-47.51934
97	-49.633045
98	-43.400505
99	-43.04069
100	-46.60536
101	-66.23335
102	-45.284897
103	-39.425453
104	-40.20765
105	-43.142708
106	-52.444786
107	-43.10635
108	-47.74521
109	-52.31201
110	-49.418365
111	-43.9593
112	-48.23248
113	-52.591858
114	-47.58064
115	-41.89328
116	-48.832024
117	-43.704857
118	-45.470467
119	-51.91584
120	-48.10713
121	-45.415558
122	-66.31834
123	-47.29083
124	-46.71131
125	-47.205444
126	-47.734825
127	-60.76289
128	-51.68116
129	-50.58867
130	-51.67399
131	-54.081886
132	-45.445396
133	-47.22065
134	-48.653038
135	-48.285576
136	-47.831066
137	-48.484425
138	-53.335396
139	-49.852234
140	-46.819313
141	-48.15507
142	-45.746006
143	-49.64807
144	-52.939972
145	-42.78154
146	-42.6522
147	-45.27147
148	-42.6905
149	-42.557056
150	-45.620186
151	-42.142647
152	-51.472404
153	-49.561043
154	-45.251812
155	-51.530132
156	-48.236523
