	z_coordinate_0	z_coordinate_1
0	0.16796257	0.071794584
1	0.16787182	0.07173674
2	0.16821133	0.071598455
3	0.1685031	0.071088955
4	0.16807474	0.071654126
5	0.16835299	0.07203303
6	0.16778833	0.07166262
7	0.16796786	0.07177551
8	0.16800235	0.07173823
9	0.16832303	0.07249184
10	0.16846532	0.07181384
11	0.16793358	0.071753696
12	0.16794421	0.071848795
13	0.16805866	0.07180227
14	0.16803445	0.07174046
15	0.16822326	0.07174732
16	0.16794917	0.0717801
17	0.16841573	0.07163696
18	0.16780753	0.071815655
19	0.16895777	0.07125868
20	0.16822927	0.07168059
21	0.16799566	0.07203399
22	0.16792421	0.0717441
23	0.16800416	0.0721174
24	0.16805138	0.07149638
25	0.1683056	0.07203399
26	0.1683507	0.071884975
27	0.16755408	0.07188146
28	0.16809276	0.07178213
29	0.16805875	0.07198088
30	0.16800696	0.07176356
31	0.16801733	0.07172097
32	0.16826348	0.07174732
33	0.16809326	0.071877375
34	0.16792265	0.071737066
35	0.16797729	0.07174076
36	0.16841286	0.07190086
37	0.16782929	0.07197784
38	0.16799752	0.071699694
39	0.17059225	0.07216804
40	0.16801545	0.07165058
41	0.1680205	0.071744815
42	0.16793752	0.07172252
43	0.1683306	0.07166059
44	0.16791248	0.07167472
45	0.16866544	0.07145999
46	0.16834548	0.071513966
47	0.16806051	0.07168807
48	0.16817698	0.071734294
49	0.16773362	0.07168354
50	0.16823989	0.07154374
51	0.16820651	0.07167111
52	0.16838795	0.07170029
53	0.1679496	0.07177965
54	0.16785316	0.07173957
55	0.16779986	0.07174246
56	0.1679568	0.07165213
57	0.16796333	0.071800485
58	0.16800374	0.07159121
59	0.16788845	0.07179843
60	0.16806667	0.07189892
61	0.16802621	0.07175802
62	0.167696	0.0721903
63	0.1689257	0.07181756
64	0.1679744	0.071732
65	0.16786726	0.071624056
66	0.16802293	0.071710154
67	0.16815735	0.071913525
68	0.16798455	0.07177673
69	0.16917267	0.071904674
70	0.1678686	0.0717258
71	0.16845313	0.07160963
72	0.16789745	0.07175608
73	0.16796789	0.07179479
74	0.16793661	0.07174651
75	0.16796614	0.07174741
76	0.16791451	0.07179369
77	0.16798282	0.0717863
78	0.16834268	0.07152705
79	0.16798756	0.07180543
80	0.16843827	0.071782604
81	0.16816638	0.07195164
82	0.16779485	0.071610704
83	0.16800183	0.071667984
84	0.16747926	0.072192326
85	0.16771917	0.07183467
86	0.16859625	0.07154621
87	0.16804399	0.07177614
88	0.16797787	0.07167728
89	0.16821827	0.07166834
90	0.16798174	0.07174276
91	0.16779128	0.071910635
92	0.16802749	0.07192905
93	0.16806844	0.07179178
94	0.1691759	0.071977094
95	0.16751103	0.07165705
96	0.16803439	0.07158215
97	0.16797343	0.071746066
98	0.16798188	0.07183118
99	0.16770302	0.07202734
100	0.16867486	0.07126896
101	0.16903242	0.071611
102	0.16796924	0.071776405
103	0.1676391	0.071680024
104	0.16827215	0.071881816
105	0.16795473	0.07156815
106	0.16813202	0.07171483
107	0.16748716	0.07229145
108	0.16887864	0.071899965
109	0.16755894	0.07186417
110	0.16807781	0.071726814
111	0.16784745	0.071802065
112	0.16788948	0.0717663
113	0.1678369	0.071696654
114	0.1677847	0.071667895
115	0.16908705	0.07169069
116	0.16835406	0.07158984
117	0.16824523	0.07200624
118	0.16901208	0.071345136
119	0.16797452	0.07169591
