	log_likelihood
0	-2641.7227
1	-2647.1643
2	-2668.3208
3	-2667.0317
4	-2608.516
5	-2671.201
6	-2654.1997
7	-2701.45
8	-2671.8813
9	-2644.3987
10	-2615.8784
11	-2604.95
12	-2660.0562
13	-2616.984
14	-2624.9175
15	-2629.8638
16	-2643.7656
17	-2695.9875
18	-2691.984
19	-2681.1108
20	-2641.5872
21	-2654.2388
22	-2609.6453
23	-2598.467
24	-2611.6726
25	-2628.8481
26	-2633.0159
27	-2706.1914
28	-2672.394
29	-2734.5972
30	-2642.8645
31	-2670.4028
32	-2664.0583
33	-2630.565
34	-2688.0828
35	-2633.4353
36	-2610.6562
37	-2617.1643
38	-2624.8516
39	-2637.1306
40	-2692.2566
41	-2614.9465
42	-2633.8328
43	-2603.1807
44	-2640.3875
45	-2604.742
46	-2665.1
47	-2610.8196
48	-2633.3943
49	-2671.817
50	-2602.1711
51	-2621.2178
52	-2601.2854
53	-2639.6594
54	-2696.0881
55	-2665.0696
56	-2650.2397
57	-2654.787
58	-2643.6284
59	-2604.8706
60	-2619.6497
61	-2691.0217
62	-2611.5679
63	-2655.2336
64	-2699.2375
65	-2604.254
66	-2617.2305
67	-2685.1675
68	-2621.1301
69	-2645.02
70	-2637.4077
71	-2620.0845
72	-2638.9978
73	-2607.2808
74	-2624.7776
75	-2612.733
76	-2653.1665
77	-2609.3462
78	-2660.322
79	-2607.0073
80	-2617.341
81	-2601.1414
82	-2654.1458
83	-2652.1304
84	-2611.8608
85	-2639.0823
86	-2658.9949
87	-2612.0903
88	-2677.5093
89	-2623.1387
90	-2682.2202
91	-2638.7473
92	-2671.1313
93	-2631.3276
94	-2589.1875
95	-2655.2876
96	-2642.741
97	-2675.8071
98	-2647.5042
99	-2675.032
100	-2670.2488
101	-2615.4038
102	-2649.4285
103	-2639.0176
104	-2607.9429
105	-2637.231
106	-2627.5396
107	-2679.3418
108	-2624.8938
109	-2686.9224
110	-2622.3262
111	-2712.47
112	-2659.3877
113	-2620.616
114	-2605.6682
115	-2633.7324
116	-2679.8613
117	-2615.4653
118	-2609.931
119	-2602.5796
120	-2639.8066
121	-2644.2158
122	-2697.4517
123	-2643.8367
124	-2623.775
125	-2603.358
126	-2649.0864
127	-2641.853
128	-2605.607
129	-2672.825
130	-2640.9253
131	-2611.9878
132	-2599.1418
133	-2669.2864
134	-2653.3276
135	-2636.0063
136	-2617.4312
137	-2632.5405
138	-2657.661
139	-2652.513
140	-2628.099
141	-2644.0327
142	-2643.9832
143	-2651.0293
144	-2673.8174
145	-2617.6284
146	-2666.5015
147	-2624.6138
148	-2653.4136
149	-2648.828
150	-2629.353
151	-2611.952
152	-2602.9468
153	-2624.4146
154	-2673.5464
155	-2652.0742
156	-2644.0547
157	-2620.826
158	-2672.821
159	-2712.889
160	-2592.6782
161	-2613.3838
162	-2613.7864
163	-2615.8127
164	-2649.6167
165	-2684.6587
166	-2655.3347
167	-2640.3538
168	-2649.3218
169	-2593.5403
170	-2611.3647
171	-2626.4636
172	-2620.1453
173	-2649.7664
174	-2607.6492
175	-2652.3997
176	-2634.456
177	-2626.5884
178	-2689.9238
179	-2657.2046
