	log_likelihood
0	-2632.4238
1	-2638.1555
2	-2692.1938
3	-2616.3105
4	-2624.6624
5	-2589.445
6	-2668.4958
7	-2653.5703
8	-2708.7246
9	-2615.9595
10	-2603.001
11	-2629.2954
12	-2716.3835
13	-2623.0293
14	-2594.7905
15	-2600.226
16	-2608.7087
17	-2713.8674
18	-2624.2566
19	-2650.8193
20	-2654.8604
21	-2660.2563
22	-2640.2856
23	-2602.147
24	-2648.4536
25	-2631.966
26	-2638.7422
27	-2603.954
28	-2606.4016
29	-2599.7505
30	-2671.8286
31	-2629.6191
32	-2609.722
33	-2622.9053
34	-2662.5352
35	-2639.888
36	-2628.7715
37	-2668.827
38	-2622.2378
39	-2642.216
40	-2661.8484
41	-2614.5105
42	-2619.6753
43	-2638.6294
44	-2670.5164
45	-2712.4
46	-2659.7957
47	-2620.3105
48	-2631.9758
49	-2655.901
50	-2621.9573
51	-2628.0933
52	-2649.0156
53	-2629.9946
54	-2625.0933
55	-2655.9536
56	-2646.3677
57	-2656.129
58	-2670.35
59	-2635.0989
60	-2620.3257
61	-2747.6538
62	-2638.9026
63	-2612.3215
64	-2667.5183
65	-2709.6306
66	-2653.669
67	-2622.2344
68	-2648.1655
69	-2657.4062
70	-2697.318
71	-2682.8489
72	-2619.1885
73	-2644.1284
74	-2623.3481
75	-2637.2598
76	-2668.9797
77	-2640.519
78	-2631.9731
79	-2618.6128
80	-2621.6487
81	-2682.5854
82	-2604.536
83	-2639.0703
84	-2622.8315
85	-2626.4556
86	-2673.037
87	-2635.8782
88	-2645.1497
89	-2620.9058
90	-2625.4304
91	-2627.9468
92	-2636.8794
93	-2652.3699
94	-2647.364
95	-2649.3706
96	-2635.558
97	-2626.5823
98	-2618.6204
99	-2618.8809
100	-2677.9573
101	-2647.9163
102	-2663.0354
103	-2623.4543
104	-2635.0132
105	-2630.6763
106	-2602.2305
107	-2612.8289
108	-2629.1172
109	-2618.7524
110	-2605.8796
111	-2633.8452
112	-2643.45
113	-2639.9885
114	-2636.9397
115	-2603.8938
116	-2651.2625
117	-2666.8433
118	-2632.8674
119	-2627.3452
120	-2643.2607
121	-2652.9941
122	-2672.7097
123	-2645.5107
124	-2624.666
125	-2696.8838
126	-2640.3792
127	-2626.4236
128	-2666.7651
129	-2622.8796
130	-2622.5728
131	-2620.5454
132	-2627.6587
133	-2623.8164
