	log_likelihood
0	-37.603718
1	-47.11721
2	-47.817238
3	-50.822655
4	-43.435528
5	-48.80954
6	-47.96534
7	-44.65275
8	-58.457222
9	-44.12392
10	-44.649956
11	-66.214035
12	-52.442467
13	-46.82502
14	-42.258934
15	-46.56125
16	-57.43822
17	-42.813976
18	-46.375294
19	-51.41559
20	-55.16784
21	-50.595406
22	-53.0151
23	-46.68384
24	-48.848465
25	-48.77387
26	-52.847973
27	-43.94131
28	-50.360054
29	-49.584305
30	-44.64016
31	-43.609856
32	-48.987175
33	-52.26641
34	-48.098965
35	-44.440598
36	-53.186745
37	-55.506878
38	-44.58085
39	-43.824005
40	-45.738163
41	-46.076942
42	-46.721077
43	-43.73982
44	-50.674873
45	-44.734615
46	-51.350178
47	-43.989098
48	-39.98342
49	-48.156384
50	-53.51645
51	-56.853584
52	-47.23596
53	-41.763542
54	-50.58576
55	-49.40754
56	-51.480663
57	-40.73366
58	-47.88898
59	-50.789158
60	-38.78584
61	-40.610573
62	-45.633965
63	-52.032753
64	-50.475735
65	-50.68817
66	-45.307762
67	-51.13833
68	-44.910095
69	-48.364147
70	-45.695827
71	-42.022003
72	-48.26361
73	-45.262196
74	-45.10042
75	-51.033592
76	-51.522514
77	-55.017445
78	-41.204674
79	-46.622
80	-48.327316
81	-51.124763
82	-48.81831
83	-49.43108
84	-46.96894
85	-48.533634
86	-42.481785
87	-51.44529
88	-44.143738
89	-46.789406
90	-53.615173
91	-48.836777
92	-46.101933
93	-58.980297
94	-42.269817
95	-45.265434
96	-46.198284
97	-43.326164
98	-48.044544
99	-46.09439
100	-52.319878
101	-48.114727
102	-42.698814
103	-43.528023
104	-43.117065
105	-44.298122
106	-44.696735
107	-49.813995
108	-51.4115
109	-52.59968
110	-45.18096
111	-45.04711
112	-50.466904
113	-46.863605
114	-51.083218
115	-46.315742
116	-50.2224
117	-48.38909
118	-49.63575
119	-55.071167
120	-42.04453
121	-47.25095
122	-53.397076
123	-45.90398
124	-46.86753
125	-39.303665
126	-47.934917
127	-49.69651
128	-53.613487
129	-45.136406
130	-37.721474
131	-47.68885
132	-50.38363
133	-43.6474
134	-45.16642
135	-53.903088
136	-48.373432
137	-51.24372
138	-48.48887
139	-47.339405
140	-51.14346
141	-50.01396
142	-49.06527
143	-51.837013
144	-56.00071
145	-47.702538
146	-54.70572
147	-47.41958
148	-42.173378
149	-44.07672
150	-46.8574
151	-53.98109
152	-49.212147
153	-45.91725
154	-41.294395
155	-58.98999
156	-52.232666
157	-41.028896
158	-54.85781
159	-42.652355
160	-54.53122
161	-43.66822
162	-46.15984
163	-46.654793
164	-44.15827
165	-51.155323
166	-46.17284
167	-41.26878
168	-44.713875
169	-50.53902
170	-45.252373
171	-49.562294
172	-43.89842
173	-50.76607
174	-42.982166
175	-49.11161
176	-43.95923
177	-45.990314
178	-51.159054
179	-49.70571
180	-48.75773
181	-50.3078
182	-53.839607
183	-53.035736
184	-47.334423
185	-43.110733
186	-45.84949
187	-48.411915
188	-44.49762
189	-61.811626
190	-44.535927
191	-52.32321
192	-46.681145
193	-41.582848
194	-49.226402
195	-42.801098
196	-49.284203
197	-46.626915
198	-45.427673
199	-55.625732
200	-78.10384
201	-49.585545
202	-45.055702
203	-41.166252
204	-49.191833
205	-43.27523
206	-51.393078
207	-48.50347
208	-46.630302
